Source,Target,Type,Id,Label
"EP","TH","Undirected","663","3.8.7"
"EP","TM","Undirected","664","3.8.7"
"TH","TM","Undirected","665","3.8.7"
"EP","TH","Undirected","666","3.8.7"
"AZ","TH","Undirected","667","3.8.7"
"TH","TM","Undirected","668","3.8.7"
"AZ","TH","Undirected","669","3.8.7"
"EP","TH","Undirected","670","3.8.8"
"EP","TM","Undirected","671","3.8.8"
"TH","TM","Undirected","672","3.8.8"
"JV","TH","Undirected","673","3.8.8"
"CO","TH","Undirected","674","3.8.8"
"CO","JV","Undirected","675","3.8.8"
"JV","TH","Undirected","676","3.8.9"
"TH","TM","Undirected","677","3.8.9"
"AZ","TH","Undirected","678","3.8.9"
"JV","TM","Undirected","679","3.8.9"
"AZ","JV","Undirected","680","3.8.9"
"AZ","TM","Undirected","681","3.8.9"
"AZ","CO","Undirected","682","3.8.9"
"CO","TH","Undirected","683","3.8.9"
"CO","JV","Undirected","684","3.8.9"
"AZ","TH","Undirected","685","3.8.9"
"AZ","JV","Undirected","686","3.8.9"
"JV","TH","Undirected","687","3.8.9"
"JV","TH","Undirected","688","3.8.9"
"CO","JV","Undirected","689","3.8.9"
"EP","JV","Undirected","690","3.8.9"
"CO","TH","Undirected","691","3.8.10"
"AZ","CO","Undirected","692","3.8.10"
"AZ","TH","Undirected","693","3.8.10"
"CG","MA","Undirected","694","3.8.10"
"PN","TH","Undirected","695","3.8.10"
"EP","MA","Undirected","696","3.8.11"
"TH","TM","Undirected","697","3.8.12"
"AZ","TH","Undirected","698","3.8.12"
"EP","TH","Undirected","699","3.8.12"
"AZ","TM","Undirected","700","3.8.12"
"EP","TM","Undirected","701","3.8.12"
"AZ","EP","Undirected","702","3.8.12"
"TH","TM","Undirected","703","3.8.12"
"BJ","MA","Undirected","704","3.8.13"
"DU","MA","Undirected","705","3.8.13"
"BJ","DU","Undirected","706","3.8.13"
"JA","MA","Undirected","707","3.8.14"
"BO","CR","Undirected","708","3.8.15"
"CR","MA","Undirected","709","3.8.15"
"BO","MA","Undirected","710","3.8.15"
"MA","TH","Undirected","711","3.8.15"
"TH","TM","Undirected","712","3.8.16"
"EP","TH","Undirected","713","3.8.16"
"AZ","TH","Undirected","714","3.8.16"
"EP","TM","Undirected","715","3.8.16"
"AZ","TM","Undirected","716","3.8.16"
"AZ","EP","Undirected","717","3.8.16"
"EP","MA","Undirected","718","3.8.16"
"EP","TH","Undirected","719","3.8.16"
"AZ","TH","Undirected","720","3.8.16"
"AZ","EP","Undirected","721","3.8.16"
"TH","TM","Undirected","722","3.8.17"
"TH","TM","Undirected","723","3.8.18"
"JV","TH","Undirected","724","3.8.18"
"JV","TM","Undirected","725","3.8.18"
"JV","TH","Undirected","726","3.8.19"
"JV","TM","Undirected","727","3.8.19"
"TH","TM","Undirected","728","3.8.19"
"BJ","PN","Undirected","729","3.8.19"
"DU","PN","Undirected","730","3.8.19"
"BZ","PN","Undirected","731","3.8.19"
"BJ","DU","Undirected","732","3.8.19"
"BJ","BZ","Undirected","733","3.8.19"
"BZ","DU","Undirected","734","3.8.19"
"JV","TH","Undirected","735","3.8.19"
"BB","GU","Undirected","736","3.8.20"
"BB","QU","Undirected","737","3.8.20"
"GU","QU","Undirected","738","3.8.20"
"BB","TH","Undirected","739","3.8.20"
"BJ","PN","Undirected","740","3.8.20"
"DU","PN","Undirected","741","3.8.20"
"BJ","DU","Undirected","742","3.8.20"
"JV","TH","Undirected","743","3.8.20"
"GU","TH","Undirected","744","3.8.20"
"JV","PN","Undirected","745","3.8.20"
"JV","TH","Undirected","746","3.8.20"
"PN","TH","Undirected","747","3.8.20"
"JV","PN","Undirected","748","3.8.20"
"BJ","JV","Undirected","749","3.8.20"
"DU","JV","Undirected","750","3.8.20"
"GU","JV","Undirected","751","3.8.20"
"BB","JV","Undirected","752","3.8.20"
"JV","QU","Undirected","753","3.8.20"
"BJ","PN","Undirected","754","3.8.20"
"DU","PN","Undirected","755","3.8.20"
"GU","PN","Undirected","756","3.8.20"
"BB","PN","Undirected","757","3.8.20"
"PN","QU","Undirected","758","3.8.20"
"BJ","DU","Undirected","759","3.8.20"
"BJ","GU","Undirected","760","3.8.20"
"BB","BJ","Undirected","761","3.8.20"
"BJ","QU","Undirected","762","3.8.20"
"DU","GU","Undirected","763","3.8.20"
"BB","DU","Undirected","764","3.8.20"
"DU","QU","Undirected","765","3.8.20"
"BB","GU","Undirected","766","3.8.20"
"GU","QU","Undirected","767","3.8.20"
"BB","QU","Undirected","768","3.8.20"
"TH","TM","Undirected","769","3.8.20"
"BZ","TH","Undirected","770","3.8.20"
"PN","TH","Undirected","771","3.8.20"
"BZ","PN","Undirected","772","3.8.20"
"BB","TH","Undirected","773","3.8.20"
"JV","TH","Undirected","774","3.8.20"
"PN","TH","Undirected","775","3.8.20"
"JV","PN","Undirected","776","3.8.20"
"JV","TH","Undirected","777","3.8.20"
"TH","TM","Undirected","778","3.8.20"
"JV","TH","Undirected","779","3.8.20"
"TH","TM","Undirected","780","3.8.20"
"JV","TH","Undirected","781","3.8.20"
"PN","TH","Undirected","782","3.8.20"
"JV","QU","Undirected","783","3.8.20"
"TH","TM","Undirected","784","3.8.20"
"TH","TM","Undirected","785","3.8.20"
"AZ","JA","Undirected","786","3.8.21"
"JA","TH","Undirected","787","3.8.21"
"JA","TM","Undirected","788","3.8.21"
"JA","PN","Undirected","789","3.8.21"
"BJ","JA","Undirected","790","3.8.21"
"DU","JA","Undirected","791","3.8.21"
"GU","JA","Undirected","792","3.8.21"
"BB","JA","Undirected","793","3.8.21"
"JA","QU","Undirected","794","3.8.21"
"TH","TM","Undirected","795","3.8.21"
"PN","TH","Undirected","796","3.8.21"
"BJ","TH","Undirected","797","3.8.21"
"DU","TH","Undirected","798","3.8.21"
"GU","TH","Undirected","799","3.8.21"
"BB","TH","Undirected","800","3.8.21"
"QU","TH","Undirected","801","3.8.21"
"PN","TM","Undirected","802","3.8.21"
"BJ","TM","Undirected","803","3.8.21"
"DU","TM","Undirected","804","3.8.21"
"GU","TM","Undirected","805","3.8.21"
"BB","TM","Undirected","806","3.8.21"
"QU","TM","Undirected","807","3.8.21"
"BJ","PN","Undirected","808","3.8.21"
"DU","PN","Undirected","809","3.8.21"
"GU","PN","Undirected","810","3.8.21"
"BB","PN","Undirected","811","3.8.21"
"PN","QU","Undirected","812","3.8.21"
"BJ","DU","Undirected","813","3.8.21"
"BJ","GU","Undirected","814","3.8.21"
"BB","BJ","Undirected","815","3.8.21"
"BJ","QU","Undirected","816","3.8.21"
"DU","GU","Undirected","817","3.8.21"
"BB","DU","Undirected","818","3.8.21"
"DU","QU","Undirected","819","3.8.21"
"BB","GU","Undirected","820","3.8.21"
"GU","QU","Undirected","821","3.8.21"
"BB","QU","Undirected","822","3.8.21"
"JA","PN","Undirected","823","3.8.21"
"JA","TH","Undirected","824","3.8.21"
"PN","TH","Undirected","825","3.8.21"
"JA","TM","Undirected","826","3.8.21"
"JA","PN","Undirected","827","3.8.21"
"BJ","JA","Undirected","828","3.8.21"
"DU","JA","Undirected","829","3.8.21"
"GU","JA","Undirected","830","3.8.21"
"BB","JA","Undirected","831","3.8.21"
"JA","QU","Undirected","832","3.8.21"
"BJ","PN","Undirected","833","3.8.21"
"DU","PN","Undirected","834","3.8.21"
"GU","PN","Undirected","835","3.8.21"
"BB","PN","Undirected","836","3.8.21"
"PN","QU","Undirected","837","3.8.21"
"BJ","DU","Undirected","838","3.8.21"
"BJ","GU","Undirected","839","3.8.21"
"BB","BJ","Undirected","840","3.8.21"
"BJ","QU","Undirected","841","3.8.21"
"DU","GU","Undirected","842","3.8.21"
"BB","DU","Undirected","843","3.8.21"
"DU","QU","Undirected","844","3.8.21"
"BB","GU","Undirected","845","3.8.21"
"GU","QU","Undirected","846","3.8.21"
"BB","QU","Undirected","847","3.8.21"
"BU","GA","Undirected","848","3.8.22"
"CR","EN","Undirected","849","4.1.6"
"EN","FE","Undirected","850","4.1.6"
"CM","EN","Undirected","851","4.1.6"
"BA","EN","Undirected","852","4.1.6"
"EN","JP","Undirected","853","4.1.6"
"EN","JO","Undirected","854","4.1.6"
"BO","EN","Undirected","855","4.1.6"
"CR","FE","Undirected","856","4.1.6"
"CM","CR","Undirected","857","4.1.6"
"BA","CR","Undirected","858","4.1.6"
"CR","JP","Undirected","859","4.1.6"
"CR","JO","Undirected","860","4.1.6"
"BO","CR","Undirected","861","4.1.6"
"CM","FE","Undirected","862","4.1.6"
"BA","FE","Undirected","863","4.1.6"
"FE","JP","Undirected","864","4.1.6"
"FE","JO","Undirected","865","4.1.6"
"BO","FE","Undirected","866","4.1.6"
"BA","CM","Undirected","867","4.1.6"
"CM","JP","Undirected","868","4.1.6"
"CM","JO","Undirected","869","4.1.6"
"BO","CM","Undirected","870","4.1.6"
"BA","JP","Undirected","871","4.1.6"
"BA","JO","Undirected","872","4.1.6"
"BA","BO","Undirected","873","4.1.6"
"JO","JP","Undirected","874","4.1.6"
"BO","JP","Undirected","875","4.1.6"
"BO","JO","Undirected","876","4.1.6"
"EN","GT","Undirected","877","4.1.6"
"EN","GT","Undirected","878","4.1.6"
"CP","GT","Undirected","879","4.1.6"
"CR","MA","Undirected","880","4.2.1"
"BU","MA","Undirected","881","4.2.1"
"BU","JA","Undirected","882","4.2.1"
"CR","MA","Undirected","883","4.2.1"
"BB","BJ","Undirected","884","4.2.2"
"BJ","GU","Undirected","885","4.2.2"
"BB","GU","Undirected","886","4.2.2"
"BJ","GF","Undirected","887","4.2.2"
"BB","BJ","Undirected","888","4.2.2"
"BB","BF","Undirected","889","4.2.2"
"BF","MN","Undirected","890","4.2.2"
"EP","MN","Undirected","891","4.2.2"
"EP","MN","Undirected","892","4.2.2"
"BB","EP","Undirected","893","4.2.2"
"BB","MN","Undirected","894","4.2.2"
"BB","BJ","Undirected","895","4.2.2"
"MA","MM","Undirected","896","4.2.3"
"EP","MM","Undirected","897","4.2.3"
"EP","MA","Undirected","898","4.2.4"
"CO","JV","Undirected","899","4.3.1"
"JV","TS","Undirected","900","4.3.1"
"CO","TS","Undirected","901","4.3.1"
"CO","JV","Undirected","902","4.3.2"
"JV","TS","Undirected","903","4.3.2"
"CO","TS","Undirected","904","4.3.2"
"CO","JV","Undirected","905","4.3.4"
"CO","TS","Undirected","906","4.3.5"
"CO","JV","Undirected","907","4.3.5"
"JV","TS","Undirected","908","4.3.5"
"CO","JV","Undirected","909","4.3.5"
"CO","MA","Undirected","910","4.3.6"
"JV","MA","Undirected","911","4.3.7"
"CO","JV","Undirected","912","4.3.7"
"JV","PS","Undirected","913","4.3.7"
"JV","MA","Undirected","914","4.3.7"
"CO","JV","Undirected","915","4.3.7"
"CO","JV","Undirected","916","4.3.8"
"CO","JV","Undirected","917","4.4.1"
"MM","PL","Undirected","918","4.4.2"
"GA","MO","Undirected","919","4.4.2"
"GA","JV","Undirected","920","4.4.2"
"JV","MO","Undirected","921","4.4.2"
"GA","MO","Undirected","922","4.4.2"
"GA","MM","Undirected","923","4.4.2"
"MM","PL","Undirected","924","4.4.2"
"CO","TG","Undirected","925","4.5.1"
"CO","JV","Undirected","926","4.5.2"
"CO","TS","Undirected","927","4.5.3"
"CO","MA","Undirected","928","4.5.6"
"MN","TM","Undirected","929","4.6.1"
"MN","XA","Undirected","930","4.6.1"
"MN","XB","Undirected","931","4.6.1"
"GI","MN","Undirected","932","4.6.1"
"XA","XB","Undirected","933","4.6.1"
"GI","XA","Undirected","934","4.6.1"
"GI","XB","Undirected","935","4.6.1"
"TH","TM","Undirected","936","4.6.1"
"MN","XA","Undirected","937","4.6.1"
"MN","XB","Undirected","938","4.6.1"
"XA","XB","Undirected","939","4.6.1"
"EP","MN","Undirected","940","4.6.1"
"XA","XB","Undirected","941","4.6.1"
"BG","GA","Undirected","942","4.6.2"
"XA","XB","Undirected","943","4.6.2"
"BG","XA","Undirected","944","4.6.2"
"BG","XB","Undirected","945","4.6.2"
"GA","XA","Undirected","946","4.6.2"
"GA","XB","Undirected","947","4.6.2"
"XA","XB","Undirected","948","4.6.2"
"GA","XA","Undirected","949","4.6.2"
"GA","XB","Undirected","950","4.6.2"
"XA","XB","Undirected","951","4.6.2"
"GA","GL","Undirected","952","4.6.2"
"BK","GA","Undirected","953","4.6.2"
"GA","MO","Undirected","954","4.6.2"
"GA","XA","Undirected","955","4.6.2"
"GA","XB","Undirected","956","4.6.2"
"XA","XB","Undirected","957","4.6.2"
"GA","MO","Undirected","958","4.6.2"
"BB","BJ","Undirected","959","4.6.3"
"BB","GU","Undirected","960","4.6.3"
"BB","TH","Undirected","961","4.6.3"
"BJ","GU","Undirected","962","4.6.3"
"BJ","TH","Undirected","963","4.6.3"
"GU","TH","Undirected","964","4.6.3"
"BJ","GU","Undirected","965","4.6.3"
"BJ","GU","Undirected","966","4.6.3"
"BB","BJ","Undirected","967","4.6.3"
"BJ","MO","Undirected","968","4.6.3"
"BB","GU","Undirected","969","4.6.3"
"GU","MO","Undirected","970","4.6.3"
"BB","MO","Undirected","971","4.6.3"
"BJ","TH","Undirected","972","4.6.3"
"BB","BJ","Undirected","973","4.6.3"
"BJ","MO","Undirected","974","4.6.3"
"BJ","GU","Undirected","975","4.6.3"
"BJ","TH","Undirected","976","4.6.3"
"BB","MO","Undirected","977","4.6.3"
"BB","GU","Undirected","978","4.6.3"
"BB","TH","Undirected","979","4.6.3"
"GU","MO","Undirected","980","4.6.3"
"MO","TH","Undirected","981","4.6.3"
"GU","TH","Undirected","982","4.6.3"
"BB","TH","Undirected","983","4.6.3"
"BJ","TH","Undirected","984","4.6.3"
"GU","TH","Undirected","985","4.6.3"
"MO","TH","Undirected","986","4.6.3"
"GA","TH","Undirected","987","4.6.3"
"BB","BJ","Undirected","988","4.6.3"
"BB","GU","Undirected","989","4.6.3"
"BB","MO","Undirected","990","4.6.3"
"BB","GA","Undirected","991","4.6.3"
"BJ","GU","Undirected","992","4.6.3"
"BJ","MO","Undirected","993","4.6.3"
"BJ","GA","Undirected","994","4.6.3"
"GU","MO","Undirected","995","4.6.3"
"GA","GU","Undirected","996","4.6.3"
"GA","MO","Undirected","997","4.6.3"
"BB","TH","Undirected","998","4.6.3"
"CO","MA","Undirected","999","4.8.1"
"CO","MA","Undirected","1000","4.8.2"
"CO","JV","Undirected","1001","4.8.3"
"JV","TS","Undirected","1002","4.8.3"
"CO","TS","Undirected","1003","4.8.3"
"BA","CR","Undirected","1004","4.8.3"
"CR","MA","Undirected","1005","4.8.3"
"CO","MA","Undirected","1006","4.8.3"
"EP","MA","Undirected","1007","4.8.3"
"EP","MA","Undirected","1008","4.8.4"
"BB","EP","Undirected","1009","4.8.4"
"BJ","EP","Undirected","1010","4.8.4"
"EP","GU","Undirected","1011","4.8.4"
"EP","TH","Undirected","1012","4.8.4"
"EP","QU","Undirected","1013","4.8.4"
"EP","MO","Undirected","1014","4.8.4"
"BB","BJ","Undirected","1015","4.8.4"
"BB","GU","Undirected","1016","4.8.4"
"BB","TH","Undirected","1017","4.8.4"
"BB","QU","Undirected","1018","4.8.4"
"BB","MO","Undirected","1019","4.8.4"
"BJ","GU","Undirected","1020","4.8.4"
"BJ","TH","Undirected","1021","4.8.4"
"BJ","QU","Undirected","1022","4.8.4"
"BJ","MO","Undirected","1023","4.8.4"
"GU","TH","Undirected","1024","4.8.4"
"GU","QU","Undirected","1025","4.8.4"
"GU","MO","Undirected","1026","4.8.4"
"QU","TH","Undirected","1027","4.8.4"
"MO","TH","Undirected","1028","4.8.4"
"MO","QU","Undirected","1029","4.8.4"
"CO","MA","Undirected","1030","4.8.6"
"GI","MG","Undirected","1031","4.8.7"
"BQ","GI","Undirected","1032","4.8.7"
"GI","MA","Undirected","1033","4.8.7"
"GI","MG","Undirected","1034","4.8.7"
"EP","JV","Undirected","1035","4.9.1"
"CR","MA","Undirected","1036","4.9.2"
"EP","MA","Undirected","1037","4.9.2"
"MM","PL","Undirected","1038","4.9.3"
"MM","MU","Undirected","1039","4.9.3"
"MU","MW","Undirected","1040","4.9.3"
"GN","MM","Undirected","1041","4.9.3"
"GA","GS","Undirected","1042","4.11.1"
"RP","TC","Undirected","1043","4.11.2"
"GA","RP","Undirected","1044","4.11.2"
"GA","TC","Undirected","1045","4.11.2"
"RP","TC","Undirected","1046","4.11.2"
"GA","RP","Undirected","1047","4.11.2"
"BG","OS","Undirected","1048","4.11.3"
"BG","GA","Undirected","1049","4.11.3"
"CR","EN","Undirected","1050","4.11.4"
"CO","EN","Undirected","1051","4.11.4"
"EN","FE","Undirected","1052","4.11.4"
"EN","JP","Undirected","1053","4.11.4"
"BA","EN","Undirected","1054","4.11.4"
"CO","CR","Undirected","1055","4.11.4"
"CR","FE","Undirected","1056","4.11.4"
"CR","JP","Undirected","1057","4.11.4"
"BA","CR","Undirected","1058","4.11.4"
"CO","FE","Undirected","1059","4.11.4"
"CO","JP","Undirected","1060","4.11.4"
"BA","CO","Undirected","1061","4.11.4"
"FE","JP","Undirected","1062","4.11.4"
"BA","FE","Undirected","1063","4.11.4"
"BA","JP","Undirected","1064","4.11.4"
"CR","GA","Undirected","1065","4.11.4"
"BA","FE","Undirected","1066","4.11.4"
"BA","EN","Undirected","1067","4.11.4"
"BA","GA","Undirected","1068","4.11.4"
"CR","GA","Undirected","1069","4.11.4"
"CM","EN","Undirected","1070","4.11.5"
"CR","EN","Undirected","1071","4.11.5"
"EN","MM","Undirected","1072","4.11.5"
"CM","CR","Undirected","1073","4.11.5"
"CM","MM","Undirected","1074","4.11.5"
"CR","MM","Undirected","1075","4.11.5"
"CR","MM","Undirected","1076","4.11.5"
"CR","EN","Undirected","1077","4.11.6"
"CM","CR","Undirected","1078","4.11.6"
"CR","JA","Undirected","1079","4.11.6"
"CM","EN","Undirected","1080","4.11.6"
"EN","JA","Undirected","1081","4.11.6"
"CM","JA","Undirected","1082","4.11.6"
"CR","CW","Undirected","1083","4.11.6"
"CR","EP","Undirected","1084","4.11.6"
"HL","ML","Undirected","1085","4.12.1"
"GB","HL","Undirected","1086","4.12.1"
"GB","ML","Undirected","1087","4.12.1"
"BO","JO","Undirected","1088","4.12.2"
"BO","ML","Undirected","1089","4.12.2"
"BO","GB","Undirected","1090","4.12.2"
"JO","ML","Undirected","1091","4.12.2"
"GB","JO","Undirected","1092","4.12.2"
"GB","ML","Undirected","1093","4.12.2"
"BO","GT","Undirected","1094","4.12.2"
"GT","JO","Undirected","1095","4.12.2"
"BO","JO","Undirected","1096","4.12.2"
"BO","NA","Undirected","1097","4.12.2"
"GT","HL","Undirected","1098","4.12.2"
"JO","ML","Undirected","1099","4.12.2"
"GB","JO","Undirected","1100","4.12.2"
"GB","ML","Undirected","1101","4.12.2"
"BO","CR","Undirected","1102","4.12.2"
"BO","JO","Undirected","1103","4.12.3"
"BO","CR","Undirected","1104","4.12.3"
"CR","JO","Undirected","1105","4.12.3"
"BA","GA","Undirected","1106","4.12.3"
"EN","FE","Undirected","1107","4.12.3"
"EN","ML","Undirected","1108","4.12.3"
"EN","GB","Undirected","1109","4.12.3"
"FE","ML","Undirected","1110","4.12.3"
"FE","GB","Undirected","1111","4.12.3"
"GB","ML","Undirected","1112","4.12.3"
"GT","JO","Undirected","1113","4.12.3"
"CR","GT","Undirected","1114","4.12.3"
"GT","ML","Undirected","1115","4.12.3"
"EN","GT","Undirected","1116","4.12.3"
"BA","CR","Undirected","1117","4.12.4"
"BA","HL","Undirected","1118","4.12.4"
"CR","HL","Undirected","1119","4.12.4"
"CM","EN","Undirected","1120","4.12.4"
"CR","EN","Undirected","1121","4.12.4"
"CM","CR","Undirected","1122","4.12.4"
"HL","ML","Undirected","1123","4.12.4"
"GB","HL","Undirected","1124","4.12.4"
"GB","ML","Undirected","1125","4.12.4"
"CM","GA","Undirected","1126","4.12.4"
"EN","GA","Undirected","1127","4.12.4"
"CM","EN","Undirected","1128","4.12.4"
"DN","GA","Undirected","1129","4.12.4"
"CR","EN","Undirected","1130","4.12.5"
"CM","EN","Undirected","1131","4.12.6"
"CR","EN","Undirected","1132","4.12.6"
"EN","JP","Undirected","1133","4.12.6"
"EN","FE","Undirected","1134","4.12.6"
"BO","EN","Undirected","1135","4.12.6"
"EN","JO","Undirected","1136","4.12.6"
"BA","EN","Undirected","1137","4.12.6"
"CM","CR","Undirected","1138","4.12.6"
"CM","JP","Undirected","1139","4.12.6"
"CM","FE","Undirected","1140","4.12.6"
"BO","CM","Undirected","1141","4.12.6"
"CM","JO","Undirected","1142","4.12.6"
"BA","CM","Undirected","1143","4.12.6"
"CR","JP","Undirected","1144","4.12.6"
"CR","FE","Undirected","1145","4.12.6"
"BO","CR","Undirected","1146","4.12.6"
"CR","JO","Undirected","1147","4.12.6"
"BA","CR","Undirected","1148","4.12.6"
"FE","JP","Undirected","1149","4.12.6"
"BO","JP","Undirected","1150","4.12.6"
"JO","JP","Undirected","1151","4.12.6"
"BA","JP","Undirected","1152","4.12.6"
"BO","FE","Undirected","1153","4.12.6"
"FE","JO","Undirected","1154","4.12.6"
"BA","FE","Undirected","1155","4.12.6"
"BO","JO","Undirected","1156","4.12.6"
"BA","BO","Undirected","1157","4.12.6"
"BA","JO","Undirected","1158","4.12.6"
"EN","GA","Undirected","1159","4.12.7"
"GA","JA","Undirected","1160","4.12.7"
"EN","GA","Undirected","1161","4.12.7"
"EN","JA","Undirected","1162","4.12.7"
"GA","JA","Undirected","1163","4.12.7"
"EN","JA","Undirected","1164","4.12.7"
"PC","QU","Undirected","1165","4.12.8"
"EN","QU","Undirected","1166","4.12.8"
"CM","EN","Undirected","1167","4.12.8"
"EN","JP","Undirected","1168","4.12.8"
"CM","JP","Undirected","1169","4.12.8"
"CR","EP","Undirected","1170","4.12.8"
"CM","EN","Undirected","1171","4.14.1"
"EN","GA","Undirected","1172","4.14.1"
"CM","GA","Undirected","1173","4.14.1"
"CM","EN","Undirected","1174","4.14.1"
"CR","EN","Undirected","1175","4.14.1"
"BO","EN","Undirected","1176","4.14.1"
"EN","JO","Undirected","1177","4.14.1"
"BA","EN","Undirected","1178","4.14.1"
"EN","GA","Undirected","1179","4.14.1"
"EN","FE","Undirected","1180","4.14.1"
"EN","MM","Undirected","1181","4.14.1"
"EN","GV","Undirected","1182","4.14.1"
"CM","CR","Undirected","1183","4.14.1"
"BO","CM","Undirected","1184","4.14.1"
"CM","JO","Undirected","1185","4.14.1"
"BA","CM","Undirected","1186","4.14.1"
"CM","GA","Undirected","1187","4.14.1"
"CM","FE","Undirected","1188","4.14.1"
"CM","MM","Undirected","1189","4.14.1"
"CM","GV","Undirected","1190","4.14.1"
"BO","CR","Undirected","1191","4.14.1"
"CR","JO","Undirected","1192","4.14.1"
"BA","CR","Undirected","1193","4.14.1"
"CR","GA","Undirected","1194","4.14.1"
"CR","FE","Undirected","1195","4.14.1"
"CR","MM","Undirected","1196","4.14.1"
"CR","GV","Undirected","1197","4.14.1"
"BO","JO","Undirected","1198","4.14.1"
"BA","BO","Undirected","1199","4.14.1"
"BO","GA","Undirected","1200","4.14.1"
"BO","FE","Undirected","1201","4.14.1"
"BO","MM","Undirected","1202","4.14.1"
"BO","GV","Undirected","1203","4.14.1"
"BA","JO","Undirected","1204","4.14.1"
"GA","JO","Undirected","1205","4.14.1"
"FE","JO","Undirected","1206","4.14.1"
"JO","MM","Undirected","1207","4.14.1"
"GV","JO","Undirected","1208","4.14.1"
"BA","GA","Undirected","1209","4.14.1"
"BA","FE","Undirected","1210","4.14.1"
"BA","MM","Undirected","1211","4.14.1"
"BA","GV","Undirected","1212","4.14.1"
"FE","GA","Undirected","1213","4.14.1"
"GA","MM","Undirected","1214","4.14.1"
"GA","GV","Undirected","1215","4.14.1"
"FE","MM","Undirected","1216","4.14.1"
"FE","GV","Undirected","1217","4.14.1"
"GV","MM","Undirected","1218","4.14.1"
"CR","EN","Undirected","1219","4.14.2"
"EN","JA","Undirected","1220","4.14.3"
"CR","GA","Undirected","1221","4.14.3"
"EN","GA","Undirected","1222","4.14.3"
"GA","JP","Undirected","1223","4.14.3"
"CM","GA","Undirected","1224","4.14.3"
"GA","JO","Undirected","1225","4.14.3"
"BA","GA","Undirected","1226","4.14.3"
"BO","GA","Undirected","1227","4.14.3"
"CR","EN","Undirected","1228","4.14.3"
"CR","JP","Undirected","1229","4.14.3"
"CM","CR","Undirected","1230","4.14.3"
"CR","JO","Undirected","1231","4.14.3"
"BA","CR","Undirected","1232","4.14.3"
"BO","CR","Undirected","1233","4.14.3"
"EN","JP","Undirected","1234","4.14.3"
"CM","EN","Undirected","1235","4.14.3"
"EN","JO","Undirected","1236","4.14.3"
"BA","EN","Undirected","1237","4.14.3"
"BO","EN","Undirected","1238","4.14.3"
"CM","JP","Undirected","1239","4.14.3"
"JO","JP","Undirected","1240","4.14.3"
"BA","JP","Undirected","1241","4.14.3"
"BO","JP","Undirected","1242","4.14.3"
"CM","JO","Undirected","1243","4.14.3"
"BA","CM","Undirected","1244","4.14.3"
"BO","CM","Undirected","1245","4.14.3"
"BA","JO","Undirected","1246","4.14.3"
"BO","JO","Undirected","1247","4.14.3"
"BA","BO","Undirected","1248","4.14.3"
"BA","GV","Undirected","1249","4.14.3"
"GA","GV","Undirected","1250","4.14.3"
"BA","GA","Undirected","1251","4.14.3"
"CR","MA","Undirected","1252","4.14.3"
"EP","MA","Undirected","1253","4.14.4"
"CR","EN","Undirected","1254","4.14.4"
"EN","JP","Undirected","1255","4.14.4"
"CM","EN","Undirected","1256","4.14.4"
"EN","GV","Undirected","1257","4.14.4"
"CR","JP","Undirected","1258","4.14.4"
"CM","CR","Undirected","1259","4.14.4"
"CR","GV","Undirected","1260","4.14.4"
"CM","JP","Undirected","1261","4.14.4"
"GV","JP","Undirected","1262","4.14.4"
"CM","GV","Undirected","1263","4.14.4"
"CR","MA","Undirected","1264","4.14.5"
"BO","MA","Undirected","1265","4.14.5"
"GA","MA","Undirected","1266","4.14.5"
"EN","MA","Undirected","1267","4.14.5"
"BO","CR","Undirected","1268","4.14.5"
"CR","GA","Undirected","1269","4.14.5"
"CR","EN","Undirected","1270","4.14.5"
"BO","GA","Undirected","1271","4.14.5"
"BO","EN","Undirected","1272","4.14.5"
"EN","GA","Undirected","1273","4.14.5"
"JA","MA","Undirected","1274","4.14.5"
"CM","EN","Undirected","1275","4.14.5"
"EN","JP","Undirected","1276","4.14.5"
"CM","JP","Undirected","1277","4.14.5"
"CM","EN","Undirected","1278","4.14.5"
"EN","JA","Undirected","1279","4.14.5"
"EP","MA","Undirected","1280","4.14.6"
"CO","EP","Undirected","1281","4.14.7"
"CR","EP","Undirected","1282","4.14.7"
"GA","MA","Undirected","1283","4.14.7"
"CO","JA","Undirected","1284","4.15.1"
"JA","TS","Undirected","1285","4.15.1"
"CO","TS","Undirected","1286","4.15.1"
"JV","TS","Undirected","1287","4.15.1"
"JV","TS","Undirected","1288","4.15.1"
"GA","JV","Undirected","1289","4.15.2"
"DR","GA","Undirected","1290","4.15.4"
"GA","SI","Undirected","1291","4.15.4"
"EN","FE","Undirected","1292","5.1.2"
"CM","EN","Undirected","1293","5.1.2"
"BO","EN","Undirected","1294","5.1.2"
"CR","EN","Undirected","1295","5.1.2"
"EN","JO","Undirected","1296","5.1.2"
"EN","IW","Undirected","1297","5.1.2"
"CM","FE","Undirected","1298","5.1.2"
"BO","FE","Undirected","1299","5.1.2"
"CR","FE","Undirected","1300","5.1.2"
"FE","JO","Undirected","1301","5.1.2"
"FE","IW","Undirected","1302","5.1.2"
"BO","CM","Undirected","1303","5.1.2"
"CM","CR","Undirected","1304","5.1.2"
"CM","JO","Undirected","1305","5.1.2"
"CM","IW","Undirected","1306","5.1.2"
"BO","CR","Undirected","1307","5.1.2"
"BO","JO","Undirected","1308","5.1.2"
"BO","IW","Undirected","1309","5.1.2"
